,name,height,weight,dob,age,position,wing_span,standing_reach,body_fat,no_step_vert,max_vert,gp,min,pts,fg,fga,fg_perc,2pt,2pta,2p_perc,3pt,3pta,3p_perc,FTM,FTA,FT_perc,off_reb,def_reb,tot_reb,ast,stl,blks,to,pf
0,Brandon Ingram,81,196,09/02/1997,18,SF,87.0,109.5,0.0,0.0,0.0,36.0,34.6,20.1,6.9,15.6,44.2,4.3,9.3,46.4,2.6,6.3,41.0,3.7,5.5,68.2,2.2,5.7,7.9,2.3,1.3,1.6,2.3,2.4
1,Ben Simmons,82,239,07/20/1996,19,SF,84.25,108.5,7.9,37.0,41.5,33.0,34.9,20.7,7.1,12.6,56.0,7.0,12.5,56.1,0.0,0.1,33.3,6.5,9.7,67.0,3.4,9.5,12.9,5.2,2.1,0.9,3.4,2.9
2,Jaylen Brown,79,222,10/24/1996,19,SF,84.5,105.0,0.0,0.0,0.0,34.0,27.6,21.2,7.0,16.1,43.1,5.7,11.8,48.2,1.3,4.4,29.4,6.1,9.3,65.4,1.5,6.2,7.8,2.9,1.2,0.9,4.5,4.6
3,Kris Dunn,76,205,03/18/1994,22,PG,81.0,0.0,0.0,0.0,0.0,33.0,33.0,19.6,6.7,14.9,44.8,5.1,10.8,47.7,1.5,4.1,37.2,4.8,6.9,69.5,1.3,5.1,6.4,7.5,3.0,0.7,4.2,3.4
4,Jamal Murray,77,201,02/23/1997,19,PG,78.5,97.0,7.2,33.5,39.5,36.0,35.2,22.9,7.7,17.1,45.4,4.2,8.3,50.2,3.6,8.8,40.8,3.8,4.8,78.3,1.7,4.2,5.9,2.5,1.1,0.3,2.7,2.4
5,Buddy Hield,76,214,12/17/1993,22,SG,80.5,0.0,0.0,0.0,0.0,37.0,35.4,27.3,8.9,17.7,50.1,4.5,8.2,55.2,4.3,9.5,45.7,5.2,5.9,88.0,1.4,4.9,6.2,2.2,1.2,0.5,3.3,2.2
6,Jakob Poeltl,85,242,10/15/1995,20,C,85.0,0.0,0.0,0.0,0.0,35.0,30.6,22.9,8.4,13.1,64.0,8.4,13.1,64.0,0.0,0.0,0.0,6.1,8.8,69.4,3.7,8.4,12.1,2.5,0.8,2.0,2.7,3.1
7,Henry Ellenson,82,231,01/13/1997,19,PF,85.5,108.0,0.0,0.0,0.0,33.0,33.5,19.1,6.6,14.8,44.6,5.6,11.3,49.5,1.0,3.5,28.8,4.9,6.5,74.9,2.4,8.7,11.1,2.0,0.9,1.7,2.7,2.9
8,Skal Labissiere,84,216,03/18/1996,20,PF,86.0,108.0,8.8,31.0,35.0,36.0,15.8,16.8,7.0,13.5,51.6,7.0,13.3,52.1,0.0,0.1,0.0,2.9,4.4,66.1,2.5,5.5,8.0,0.8,0.6,4.2,2.3,7.7
9,Demetrius Jackson,73,194,09/07/1994,21,PG,76.75,96.0,0.0,0.0,0.0,35.0,36.0,18.7,6.5,14.5,45.1,4.7,9.0,52.5,1.8,5.5,33.1,3.8,4.7,81.3,1.0,3.1,4.1,5.5,1.5,0.3,2.6,2.3
10,Deyonta Davis,82,230,12/02/1996,19,PF,85.5,0.0,0.0,0.0,0.0,35.0,18.6,16.4,7.5,12.5,59.8,7.5,12.5,59.8,0.0,0.0,0.0,1.4,2.4,60.5,4.5,7.5,12.0,1.6,0.6,4.0,1.9,5.0
11,Marquese Chriss,81,225,07/02/1997,18,PF,84.0,105.0,0.0,0.0,0.0,34.0,24.9,19.3,7.4,13.9,53.1,6.5,11.4,57.0,0.9,2.5,35.0,3.7,5.3,68.5,3.5,4.0,7.5,1.1,1.3,2.3,2.8,5.7
12,Wade Baldwin,75,195,03/29/1996,20,PG,82.0,101.0,0.0,0.0,0.0,33.0,30.4,18.4,5.3,12.5,42.7,3.7,8.5,43.7,1.6,4.0,40.6,6.1,7.7,79.9,0.5,4.7,5.2,6.8,1.6,0.4,3.6,3.3
13,Denzel Valentine,78,223,11/16/1993,22,SG,82.0,103.0,0.0,0.0,0.0,31.0,33.0,23.8,8.2,17.8,46.2,4.0,8.4,48.1,4.2,9.4,44.4,3.2,3.8,85.3,1.0,8.3,9.3,9.7,1.3,0.3,3.4,2.1
14,Domantas Sabonis,82,231,05/03/1996,20,PF,82.5,0.0,0.0,0.0,0.0,35.0,32.0,22.1,8.3,13.7,60.6,8.1,13.2,61.5,0.2,0.5,35.7,5.4,7.0,76.8,3.8,11.1,15.0,2.3,0.8,1.1,3.3,4.1
15,Tyler Ulis,69,160,01/05/1996,20,PG,73.25,88.0,7.1,32.5,39.0,35.0,36.8,18.9,6.0,13.8,43.4,4.3,8.8,48.6,1.7,5.0,34.4,5.2,6.1,85.6,0.6,2.7,3.3,7.7,1.6,0.1,2.2,2.0
16,Damian Jones,83,248,06/30/1995,20,C,86.0,0.0,0.0,0.0,0.0,33.0,26.2,20.9,8.4,14.2,59.0,8.4,14.1,59.5,0.0,0.1,0.0,4.1,7.7,53.6,3.4,7.1,10.5,1.7,0.4,2.5,3.0,4.9
17,Taurean Prince,79,215,08/22/1994,21,SF,83.5,106.5,5.9,0.0,34.5,33.0,30.8,21.2,7.3,17.0,43.1,5.2,11.1,46.8,2.1,5.9,36.1,4.4,5.7,76.9,3.0,4.8,7.9,3.0,1.6,1.0,3.5,3.4
18,Diamond Stone,84,255,02/10/1997,19,C,87.5,109.0,0.0,0.0,0.0,34.0,22.8,22.3,8.6,15.2,56.8,8.6,15.2,56.8,0.0,0.0,0.0,5.1,6.8,75.0,4.0,5.9,10.0,0.7,0.9,2.9,2.8,4.2
19,Stephen Zimmerman,84,235,09/09/1996,19,C,87.0,109.0,0.0,0.0,0.0,25.0,26.3,14.3,5.3,11.4,46.3,5.1,10.5,48.1,0.2,0.9,25.0,3.5,5.5,63.6,3.1,9.3,12.3,1.2,0.7,2.7,2.9,4.3
20,Malik Beasley,76,185,11/26/1996,19,SG,78.0,0.0,0.0,0.0,0.0,34.0,29.8,19.9,7.0,14.8,47.1,4.9,9.5,51.8,2.1,5.4,38.7,3.9,4.8,81.3,1.7,5.1,6.8,1.9,1.2,0.2,2.2,2.8
21,DeAndre Bembry,78,210,07/04/1994,21,SF,78.0,0.0,0.0,0.0,0.0,36.0,37.3,18.4,7.0,14.6,47.9,6.0,10.8,55.3,1.0,3.7,26.6,3.4,5.2,65.7,1.5,6.7,8.2,4.7,1.5,0.9,2.1,2.6
22,Brice Johnson,81,230,06/27/1994,21,PF,83.0,0.0,0.0,0.0,0.0,40.0,28.0,23.7,9.3,15.2,61.4,9.3,15.2,61.4,0.0,0.0,0.0,5.0,6.4,78.3,4.0,10.7,14.7,2.0,1.5,2.1,2.5,3.7
23,Dejounte Murray,77,170,09/19/1996,19,PG,81.5,0.0,0.0,0.0,0.0,34.0,33.5,16.7,6.2,14.8,41.6,5.1,11.2,45.7,1.0,3.6,28.8,3.4,5.1,66.3,1.5,4.7,6.2,4.6,1.9,0.3,3.4,2.7
24,Cheick Diallo,81,220,09/13/1996,19,PF,88.0,109.0,0.0,0.0,0.0,27.0,7.5,15.8,6.4,11.3,56.9,6.4,11.3,56.9,0.0,0.0,0.0,2.9,5.3,55.6,3.3,9.9,13.2,0.2,1.4,4.5,3.3,7.4
25,Patrick McCaw,79,185,10/25/1995,20,SG,88.0,109.0,0.0,0.0,0.0,31.0,34.2,15.6,5.3,11.8,45.4,3.2,5.7,56.4,2.1,6.1,35.2,2.8,3.6,76.9,1.2,4.4,5.6,4.2,2.6,0.5,2.3,2.4
26,Melo Trimble,75,190,02/02/1995,21,PG,74.0,0.0,0.0,0.0,0.0,35.0,33.2,18.6,5.6,13.6,40.8,3.6,7.2,49.5,2.0,6.4,31.1,5.5,6.3,86.7,0.4,4.1,4.4,6.1,1.5,0.2,3.3,2.3
27,Malcolm Brogdon,77,215,12/11/1992,23,SG,82.0,102.0,0.0,0.0,0.0,37.0,34.1,23.9,8.2,17.8,45.7,5.5,11.0,49.8,2.7,6.8,39.1,5.0,5.5,89.7,0.7,4.6,5.3,4.1,1.2,0.3,1.8,2.7
28,A.J. Hammons,84,278,08/27/1992,23,C,87.0,0.0,0.0,0.0,0.0,33.0,24.6,24.5,9.9,16.6,59.2,9.6,16.1,59.4,0.3,0.5,54.5,4.5,6.3,70.9,3.8,9.6,13.4,1.8,0.4,4.2,3.2,3.9
29,Caris LeVert,79,200,08/25/1994,21,PG,87.5,113.5,0.0,0.0,0.0,14.0,31.1,22.0,7.2,14.4,50.0,4.6,8.7,53.3,2.6,5.8,45.0,5.0,6.3,78.8,0.9,6.4,7.3,6.6,1.3,0.3,2.1,1.7
30,Wayne Selden,78,223,09/30/1994,21,SG,82.0,0.0,0.0,0.0,0.0,37.0,30.0,17.9,6.4,13.7,46.9,4.0,7.3,54.6,2.5,6.5,38.3,2.5,4.1,61.7,1.0,3.4,4.5,3.3,1.0,0.4,2.4,2.6
31,Malik Newman,76,179,02/21/1997,19,PG,77.0,99.0,0.0,0.0,0.0,28.0,27.5,16.4,5.5,13.8,39.8,2.5,5.9,41.9,3.0,7.9,38.2,2.3,3.4,68.7,0.4,3.5,3.9,3.0,0.6,0.1,2.6,2.2
32,Gary Payton II,75,175,12/01/1992,23,PG,78.5,0.0,0.0,0.0,0.0,31.0,34.4,18.7,7.5,15.6,48.3,6.7,13.0,51.6,0.8,2.6,31.9,2.8,4.4,64.7,2.8,6.5,9.3,5.9,2.9,0.5,2.6,3.1
33,Jake Layman,81,220,03/07/1994,22,SF,78.5,0.0,0.0,0.0,0.0,35.0,31.7,15.1,5.1,10.2,49.8,3.0,4.9,60.4,2.1,5.3,39.9,2.8,3.4,84.6,1.3,5.5,6.8,1.5,1.5,1.3,2.1,2.5
34,Jarrod Uthoff,81,210,05/19/1993,22,SF,82.5,0.0,0.0,0.0,0.0,33.0,31.5,23.9,8.3,18.6,44.8,5.8,12.0,48.4,2.5,6.6,38.2,4.7,5.7,81.3,1.8,6.3,8.1,1.4,1.2,3.2,1.5,2.0
35,Prince Ibeh,83,260,06/03/1994,21,C,89.5,112.5,0.0,32.5,0.0,32.0,18.1,9.4,3.7,6.4,57.8,3.7,6.4,57.8,0.0,0.0,0.0,2.0,4.8,41.8,5.1,6.3,11.4,0.1,0.6,4.6,2.8,7.5
36,Dorian Finney-Smith,80,220,05/04/1993,23,SF,83.5,106.5,0.0,31.0,0.0,36.0,31.8,18.2,5.8,13.3,43.7,3.4,6.7,50.5,2.4,6.6,36.8,4.2,5.7,73.3,3.1,7.3,10.4,2.6,1.1,1.0,2.3,2.7
37,Damion Lee,78,210,10/21/1992,23,SF,83.5,106.5,0.0,31.0,0.0,30.0,33.6,19.7,6.3,14.6,42.8,3.8,7.3,51.7,2.5,7.4,34.1,4.7,5.5,84.3,0.8,4.1,4.9,2.4,1.9,0.0,2.1,2.6
38,Robert Carter,80,247,04/04/1994,22,PF,86.0,0.0,0.0,0.0,0.0,35.0,26.6,19.1,7.3,13.4,54.9,6.2,9.9,62.4,1.1,3.4,33.3,3.3,4.4,74.0,2.6,8.2,10.7,2.9,1.3,1.9,3.3,4.4
39,Ben Bentil,81,235,03/29/1995,21,PF,86.0,0.0,0.0,0.0,0.0,35.0,34.2,24.2,8.1,17.5,46.2,6.4,12.3,51.7,1.7,5.2,32.9,6.4,8.1,78.2,3.1,5.7,8.8,1.3,1.0,1.2,2.2,3.2
40,Sheldon McClellan,77,205,12/21/1992,23,SG,86.0,0.0,0.0,0.0,0.0,35.0,32.9,20.7,6.4,12.7,50.4,4.4,7.7,56.8,2.0,5.0,40.6,5.8,6.9,83.8,0.7,3.4,4.1,2.0,1.3,0.3,1.6,2.2
41,Michael Gbinije,79,200,06/05/1992,23,SG,78.0,0.0,0.0,0.0,0.0,37.0,37.9,19.4,6.8,14.7,46.1,4.0,7.7,52.5,2.7,7.0,39.1,3.2,4.8,66.3,1.2,3.3,4.5,4.8,2.1,0.4,3.2,2.9
42,Yogi Ferrell,72,178,05/09/1993,22,PG,78.0,0.0,0.0,0.0,0.0,35.0,34.7,20.0,6.4,14.1,45.8,3.8,7.9,48.8,2.6,6.2,42.0,4.5,5.4,82.9,1.1,3.3,4.4,6.4,1.2,0.0,2.9,1.9
43,Cat Barber,74,185,07/25/1994,21,PG,76.0,0.0,0.0,0.0,0.0,33.0,38.7,24.3,7.8,17.9,43.4,6.4,14.2,45.3,1.3,3.7,36.1,7.4,8.6,86.5,0.7,4.2,4.8,4.6,0.7,0.1,2.7,2.2
44,Perry Ellis,80,222,09/14/1993,22,SF,82.0,0.0,0.0,0.0,0.0,37.0,30.4,22.0,8.1,15.3,53.2,7.2,13.1,54.8,1.0,2.2,43.8,4.7,6.0,79.5,2.2,5.3,7.5,1.7,0.6,0.7,2.0,2.2
