name,blk_per_g,drb_per_g,pts_per_g,fg2_pct,ast_per_g,gs,pf_per_g,fg3_per_g,fta_per_g,fg_pct,mp_per_g,fg3a_per_g,efg_pct,tov_per_g,ft_per_g,ft_pct,stl_per_g,fg3_pct,fg2_per_g,g,fg2a_per_g,trb_per_g,orb_per_g,fg_per_g,fga_per_g
Julius Randle,0.4,7.9,11.5,0.451,1.8,68,3.1,0.1,3.3,0.442,28.1,0.5,0.448,1.9,2.4,0.716,0.7,0.262,4.4,90,9.7,9.9,2.1,4.5,10.2
Nick Young,0.2,1.7,11.9,0.444,1,141,1.9,1.3,2.6,0.418,23.4,3.5,0.483,1.1,2.2,0.836,0.6,0.369,2.9,584,6.5,2,0.4,4.2,10.1
Jose Calderon,0.1,2.2,9.9,0.506,6.4,546,1.7,1.1,1.3,0.474,28.7,2.7,0.544,1.6,1.2,0.875,0.9,0.412,2.7,751,5.3,2.6,0.4,3.8,8
Wade Baldwin,0.5,1.8,4.3,0.296,3.5,1,1.5,0.3,0.7,0.286,20.8,1.3,0.314,2,0.7,1,1.3,0.25,1.3,6,4.5,2.5,0.7,1.7,5.8
James Ennis,0.3,2,6,0.483,0.8,15,1.6,0.7,1.7,0.437,17.7,1.9,0.517,0.8,1.3,0.809,0.6,0.374,1.3,92,2.6,2.9,1,2,4.6
Troy Daniels,0,0.8,4.7,0.43,0.5,1,0.9,1.2,0.2,0.42,10,2.8,0.565,0.5,0.2,0.75,0.2,0.416,0.5,98,1.2,1,0.2,1.7,4
Mike Conley,0.2,2.4,13.6,0.465,5.6,615,2,1.2,3.1,0.44,32.5,3.1,0.492,2,2.5,0.807,1.5,0.375,3.8,644,8.2,2.9,0.4,5,11.3
Andrew Harrison,0.1,1.1,6.3,0.381,3.1,2,3.1,0.6,3.1,0.3,24.4,2.7,0.35,1.7,2.3,0.727,1.4,0.211,1.1,7,3,1.6,0.4,1.7,5.7
Chandler Parsons,0.4,4.1,14.3,0.532,3,326,2.1,1.7,2.3,0.473,33.3,4.5,0.545,1.7,1.6,0.705,1,0.378,3.8,342,7.1,5,1,5.5,11.6
Brandan Wright,1,2.3,7.1,0.611,0.5,56,1.3,0,1.5,0.608,16.5,0,0.608,0.5,1,0.677,0.5,0,3,372,5,3.7,1.4,3,5
Jarell Martin,0.3,1.9,5.7,0.464,0.5,2,2.4,0.1,2.3,0.456,14.5,0.3,0.466,0.8,1.6,0.727,0.4,0.333,1.9,34,4.1,3.2,1.4,2,4.4
JaMychal Green,0.4,2.6,6.4,0.494,0.7,24,2.3,0.2,1.4,0.472,16.7,0.7,0.49,1,1,0.752,0.5,0.306,2.4,110,4.9,4.2,1.6,2.6,5.5
Tony Allen,0.4,2.2,8.1,0.493,1.3,378,2.4,0.1,2.4,0.476,21.8,0.5,0.487,1.4,1.7,0.718,1.4,0.281,3,731,6,3.4,1.2,3.1,6.5
Marc Gasol,1.5,5.8,14.4,0.506,3.1,569,3,0,4.6,0.502,33.7,0.2,0.503,2,3.5,0.765,0.9,0.231,5.4,576,10.6,7.8,2,5.4,10.8
Zach Randolph,0.3,6.3,16.9,0.481,1.8,820,2.4,0.1,4.3,0.473,31.7,0.5,0.477,2.1,3.3,0.764,0.8,0.262,6.6,992,13.8,9.4,3,6.7,14.3
Vince Carter,0.6,3.4,18.7,0.462,3.4,954,2.7,1.5,4.6,0.439,32.4,4.1,0.488,1.9,3.6,0.799,1.1,0.373,5.3,1282,11.4,4.6,1.2,6.8,15.5
Matt Barnes,0.5,3.4,8.2,0.526,1.8,342,2.5,1,1.5,0.439,23.6,3.1,0.515,1.3,1.1,0.743,0.8,0.335,2,864,3.8,4.6,1.2,3,6.9
Anthony Tolliver,0.3,2.6,6,0.49,0.9,69,1.6,1.1,1.2,0.409,19.5,3,0.516,0.6,0.9,0.77,0.4,0.356,1,460,2,3.5,0.9,2,4.9
Garrett Temple,0.2,1.4,4.5,0.442,1.4,101,1.6,0.6,1,0.397,16.4,1.7,0.469,0.8,0.7,0.702,0.7,0.336,1,318,2.3,1.8,0.4,1.6,4.1
Arron Afflalo,0.2,2.6,11.5,0.484,2,498,2,1.2,2.4,0.451,28.7,3.1,0.514,1.2,2,0.822,0.5,0.385,3,657,6.3,3.1,0.5,4.2,9.3
Kosta Koufos,0.8,3.1,5.6,0.529,0.4,161,2,0,1.1,0.528,15.9,0,0.528,0.7,0.7,0.602,0.4,0,2.5,511,4.7,4.8,1.8,2.5,4.7
Omri Casspi,0.2,3.3,8.4,0.487,1.2,137,1.6,1,1.9,0.442,21.6,2.6,0.511,1.1,1.3,0.677,0.6,0.367,2.1,468,4.3,4.2,0.9,3.1,7
Willie Cauley-Stein,1,3.1,6.8,0.563,0.6,39,2.3,0,1.8,0.56,20.8,0,0.56,0.7,1.2,0.644,0.7,0,2.8,73,5,5,1.9,2.8,5
Darren Collison,0.1,2.2,12.6,0.493,4.9,315,1.7,0.8,3,0.468,29.4,2.1,0.507,2.1,2.5,0.851,1.1,0.373,3.9,496,7.9,2.7,0.5,4.7,9.9
Rudy Gay,0.8,4.4,18.4,0.479,2.3,693,2.5,1,4.3,0.453,35.7,3,0.486,2.4,3.4,0.793,1.3,0.345,5.9,731,12.4,5.9,1.5,7,15.4
Ben McLemore,0.2,2.2,9.6,0.469,1.3,190,2.4,1.3,1.7,0.415,26.9,3.7,0.491,1.4,1.4,0.784,0.7,0.346,2.2,240,4.7,2.7,0.5,3.5,8.4
DeMarcus Cousins,1.2,7.7,20.3,0.469,2.7,402,3.9,0.2,7.3,0.461,31.6,0.7,0.467,3.4,5.3,0.73,1.4,0.286,7.2,424,15.3,10.7,3,7.4,16
Juan Hernangomez,0.2,1,1.4,1,0.2,0,0.8,0.2,0.4,0.667,6.8,0.4,0.833,0.4,0.4,1,0.2,0.5,0.2,5,0.2,1,0,0.4,0.6
Jamal Murray,0,1.7,4.3,0.273,1.7,2,1.1,0.7,0.6,0.275,17.7,2.6,0.338,1,0.4,0.75,0.3,0.278,0.9,7,3.1,1.7,0,1.6,5.7
Mike Miller,0.2,3.7,10.8,0.502,2.6,570,2,1.6,1.7,0.459,27.3,3.8,0.55,1.5,1.3,0.769,0.6,0.407,2.4,1014,4.8,4.3,0.6,4,8.6
Darrell Arthur,0.6,2.5,6.7,0.46,0.8,98,2.6,0.2,1,0.444,18.4,0.7,0.461,0.8,0.8,0.761,0.6,0.316,2.6,445,5.7,3.7,1.2,2.8,6.4
Will Barton,0.3,2.8,8.1,0.467,1.5,9,1.2,0.6,1.9,0.422,18.4,2,0.465,1.1,1.5,0.803,0.6,0.307,2.4,257,5.1,3.4,0.5,3,7.1
Nikola Jokic,0.6,4.7,10,0.545,2.3,62,2.7,0.4,2.3,0.513,21.8,1.1,0.536,1.3,1.9,0.802,1,0.323,3.5,87,6.5,7,2.2,3.9,7.6
Jameer Nelson,0.1,2.5,11.9,0.474,5.2,600,2.5,1.3,1.9,0.437,28.5,3.6,0.501,2.2,1.5,0.815,0.9,0.368,3.2,760,6.8,3,0.5,4.5,10.4
Emmanuel Mudiay,0.5,3.2,13.2,0.379,5.3,73,2.2,1.1,3.4,0.364,30.7,3.4,0.404,3.4,2.4,0.704,1,0.318,3.8,75,10,3.6,0.5,4.9,13.4
Jusuf Nurkic,1.2,4.1,7.7,0.447,1,37,3.1,0,2.6,0.444,18.1,0,0.444,1.6,1.6,0.626,0.8,0,3,101,6.8,6.2,2.1,3,6.9
Gary Harris,0.2,1.6,8.6,0.511,1.4,84,1.7,1,1.4,0.432,24.1,3.1,0.496,1,1.1,0.797,1,0.315,2.3,134,4.5,2.2,0.6,3.3,7.5
Kenneth Faried,0.9,5.5,12.2,0.545,1.1,331,2.6,0,3.6,0.543,26.5,0,0.543,1.5,2.3,0.648,0.8,0.133,4.9,355,9,8.7,3.2,4.9,9.1
Wilson Chandler,0.7,4.2,13.7,0.492,1.7,343,2.9,1.3,2.3,0.443,31.1,3.8,0.497,1.5,1.8,0.774,0.7,0.338,4,451,8.2,5.3,1.1,5.3,12
Danilo Gallinari,0.5,3.8,14.9,0.455,1.9,334,1.9,1.8,4.8,0.415,30.8,4.9,0.498,1.3,4.1,0.855,0.8,0.367,2.7,404,6,4.6,0.8,4.5,10.8
Tyler Ulis,0.3,0.5,2,0.375,2,0,0.8,0,0.5,0.333,8.5,0.3,0.333,0.8,0.5,1,0.8,0,0.8,4,2,0.8,0.3,0.8,2.3
Marquese Chriss,0.3,2.3,4.9,0.471,0.7,2,2.4,0.1,1.7,0.415,14,0.8,0.427,1.4,1,0.6,0.6,0.143,1.8,9,3.8,3.2,0.9,1.9,4.6
Leandro Barbosa,0.1,1.7,10.9,0.499,2.2,112,2,1.2,1.9,0.46,22.1,3.1,0.528,1.3,1.5,0.819,0.8,0.388,2.9,791,5.8,2.1,0.4,4.1,8.9
Jared Dudley,0.2,2.3,8.4,0.516,1.6,260,1.8,1,1.7,0.47,24.3,2.6,0.55,0.9,1.2,0.733,0.9,0.4,2,685,3.9,3.4,1.1,3.1,6.5
John Jenkins,0.1,1.3,5.2,0.515,0.8,8,0.6,0.7,0.8,0.449,13,1.8,0.528,0.6,0.7,0.846,0.2,0.363,1.2,141,2.4,1.5,0.2,1.9,4.2
Brandon Knight,0.2,2.9,15.8,0.447,4.5,316,2.1,1.7,3.3,0.415,32.7,4.9,0.479,2.8,2.7,0.809,1,0.358,4,337,8.9,3.5,0.6,5.7,13.7
Tyson Chandler,1.3,6.1,8.7,0.592,0.9,790,2.9,0,3.4,0.591,28.5,0,0.591,1.5,2.2,0.644,0.6,0,3.3,993,5.5,9.3,3.2,3.3,5.5
Devin Booker,0.3,2.1,14.5,0.468,2.6,59,3,1.3,3.6,0.425,28.5,3.9,0.481,2.2,3,0.836,0.6,0.338,3.8,84,8.1,2.5,0.4,5.1,12
T.J. Warren,0.3,1.7,9.8,0.522,0.8,14,1.8,0.4,1.3,0.5,20.9,1.1,0.524,0.7,1,0.744,0.7,0.358,3.8,96,7.3,2.9,1.3,4.2,8.4
Alex Len,1,4.2,6.6,0.453,0.7,95,2.7,0,2.1,0.45,19.7,0.1,0.451,1.3,1.5,0.714,0.4,0.182,2.5,198,5.6,6.1,1.9,2.5,5.6
P.J. Tucker,0.3,3.9,7.8,0.477,1.6,269,2.2,0.7,1.7,0.435,27.7,2.1,0.49,1.1,1.3,0.747,1.2,0.346,2.1,346,4.5,5.6,1.7,2.9,6.6
Eric Bledsoe,0.5,2.8,11.8,0.485,4.3,199,1.9,0.7,3.4,0.448,26.1,2.2,0.487,2.6,2.6,0.781,1.4,0.33,3.5,361,7.2,3.7,0.8,4.2,9.4
Jordan Hill,0.7,3.7,8,0.5,0.8,120,2.2,0,1.8,0.497,19,0.1,0.498,1,1.3,0.699,0.4,0.136,3.3,404,6.7,5.9,2.2,3.4,6.7
Brandon Rush,0.5,2.6,7,0.451,1,130,1.3,1.1,0.9,0.429,21.9,2.7,0.518,0.9,0.6,0.704,0.5,0.402,1.5,439,3.4,3,0.4,2.6,6.1
Kris Dunn,0.3,2.6,4.9,0.346,4,5,2.6,0.4,2,0.364,22.3,1,0.409,1.7,1,0.5,1.6,0.429,1.3,7,3.7,3.3,0.7,1.7,4.7
Nemanja Bjelica,0.4,2.7,5,0.544,1.3,0,2.6,0.8,0.9,0.449,17.5,2.1,0.547,0.8,0.7,0.71,0.4,0.366,1,67,1.9,3.5,0.8,1.8,4
Tyus Jones,0.1,1.2,4.5,0.381,3.1,0,0.9,0.5,1.2,0.353,16.4,1.6,0.408,0.9,0.9,0.76,1,0.303,1.1,42,2.8,1.5,0.3,1.5,4.4
Karl-Anthony Towns,1.6,7.5,18.6,0.558,2,89,3,0.4,3.4,0.54,32.3,1.2,0.556,2.2,2.8,0.81,0.7,0.36,7.2,89,13,10.3,2.8,7.7,14.2
Adreian Payne,0.2,2.4,4.1,0.417,0.7,24,1.9,0.1,0.9,0.396,14.3,0.5,0.409,0.9,0.6,0.662,0.4,0.233,1.6,86,3.8,3.2,0.8,1.7,4.3
Zach LaVine,0.2,2.5,12.5,0.467,3.3,80,2.2,1.2,2.5,0.441,26.7,3.2,0.499,2.2,2,0.819,0.8,0.383,3.4,166,7.3,2.8,0.3,4.6,10.5
Andrew Wiggins,0.6,2.6,19,0.469,2,170,2.2,0.6,6.4,0.45,35.6,2,0.472,2.2,4.8,0.758,1,0.325,6.1,170,13,4.1,1.5,6.8,15
Gorgui Dieng,1.3,4.7,8.5,0.524,1.6,110,2.4,0,2.7,0.519,24.5,0.1,0.521,1.5,2.1,0.777,0.9,0.276,3.2,222,6.1,7,2.3,3.2,6.2
Shabazz Muhammad,0.1,1.8,9.6,0.505,0.6,13,1.1,0.4,2.7,0.472,18,1.3,0.5,0.8,2,0.741,0.3,0.317,3.2,164,6.3,3,1.2,3.6,7.6
Ricky Rubio,0.1,3.6,10.1,0.384,8.3,260,2.6,0.6,3.9,0.368,31.5,2,0.406,2.8,3.2,0.813,2.2,0.317,2.5,280,6.5,4.3,0.7,3.1,8.5
Seth Curry,0.1,1.2,6.6,0.466,1.6,11,1.1,1.1,1,0.446,16.2,2.6,0.551,0.8,0.8,0.81,0.6,0.425,1.2,56,2.6,1.4,0.2,2.3,5.3
Dirk Nowitzki,0.9,6.8,22,0.498,2.5,1312,2.4,1.3,5.9,0.474,35.2,3.3,0.513,1.8,5.2,0.879,0.8,0.381,6.5,1343,13,7.9,1.1,7.7,16.4
Nicolas Brussino,0,0.3,1,0,0.5,0,0,0.2,0.7,0.2,5.2,0.5,0.3,0.3,0.5,0.75,0.5,0.333,0,6,0.3,0.5,0.2,0.2,0.8
Dorian Finney-Smith,0.1,1,2.4,0.667,0.1,2,1,0.4,0.9,0.385,12.9,1.4,0.5,0.3,0.6,0.667,0.6,0.3,0.3,7,0.4,1.4,0.4,0.7,1.9
A.J. Hammons,0,0.3,3,0.5,0.3,0,0.3,0.3,0.7,0.6,2.7,0.3,0.7,0,0.7,1,0,1,0.7,3,1.3,1,0.7,1,1.7
Dwight Powell,0.3,2.3,5.1,0.52,0.6,3,1.6,0.1,1.8,0.495,13,0.3,0.502,0.5,1.3,0.731,0.5,0.194,1.8,106,3.5,3.4,1.1,1.9,3.8
Deron Williams,0.3,2.7,16.8,0.481,8.3,732,2.6,1.4,4.3,0.445,34.8,3.9,0.498,2.9,3.6,0.821,1.1,0.357,4.5,786,9.3,3.2,0.4,5.9,13.3
Harrison Barnes,0.2,3.6,10.4,0.479,1.4,254,1.9,0.9,2.2,0.449,28.3,2.5,0.503,1,1.6,0.749,0.7,0.375,3,315,6.2,4.7,1,3.9,8.7
Salah Mejri,1,2.5,3.8,0.67,0.3,6,1.7,0,1.2,0.663,11.5,0,0.663,0.7,0.7,0.596,0.2,0,1.5,40,2.3,3.7,1.2,1.5,2.3
J.J. Barea,0,1.7,8.6,0.457,3.5,89,1.5,0.9,1.4,0.423,19.4,2.5,0.481,1.4,1.1,0.801,0.4,0.352,2.4,667,5.2,2,0.3,3.3,7.7
Wesley Matthews,0.2,2.5,14,0.479,2.1,466,2.2,2.1,2.8,0.432,32.6,5.4,0.526,1.3,2.3,0.83,1.1,0.384,2.7,526,5.7,3.1,0.6,4.8,11.1
Justin Anderson,0.5,2.2,4.3,0.519,0.6,11,0.9,0.4,1.1,0.403,12.9,1.7,0.46,0.5,0.9,0.775,0.4,0.257,1.1,63,2.1,2.7,0.5,1.5,3.8
Devin Harris,0.2,2,11.7,0.482,4.4,445,2.3,0.8,3.9,0.437,26.2,2.5,0.483,1.9,3.1,0.794,1.1,0.324,3.1,781,6.4,2.3,0.3,3.9,8.9
Andrew Bogut,1.6,6.4,10.3,0.536,2.3,636,3.2,0,2.3,0.535,29.4,0,0.535,1.8,1.3,0.556,0.7,0.12,4.5,650,8.4,9,2.6,4.5,8.4
Solomon Hill,0.2,2.4,6,0.446,1.5,89,1.6,0.6,1.5,0.404,20.8,1.8,0.46,0.9,1.2,0.819,0.7,0.325,1.5,177,3.4,3.1,0.7,2.1,5.2
Terrence Jones,1.2,3.9,10.3,0.55,1,107,1.8,0.4,2.3,0.51,23.9,1.3,0.535,1,1.5,0.623,0.6,0.305,3.8,185,6.9,5.7,1.8,4.2,8.2
Tim Frazier,0.1,1.8,5.9,0.446,4,13,1.8,0.4,1.6,0.422,17.4,1.2,0.459,1.6,1.1,0.673,0.7,0.337,1.8,70,4.1,2.4,0.6,2.2,5.3
Buddy Hield,0.3,2.3,9.4,0.477,1,0,1.6,1.1,0.9,0.337,21.3,5.6,0.388,1.3,0.8,0.857,0.6,0.2,2.6,8,5.5,2.9,0.6,3.8,11.1
Langston Galloway,0.3,3.1,9,0.421,2.7,48,2.3,1.1,1.5,0.393,27,3.2,0.457,0.9,1.1,0.774,1,0.345,2.3,135,5.4,3.7,0.6,3.4,8.6
E'Twaun Moore,0.2,1.3,6,0.459,1.6,54,1.4,0.7,0.6,0.429,17.5,1.8,0.488,0.8,0.5,0.745,0.6,0.367,1.8,315,3.8,1.7,0.4,2.4,5.6
Dante Cunningham,0.5,2.5,6,0.484,0.7,116,1.8,0.1,0.9,0.468,21,0.4,0.48,0.5,0.6,0.65,0.7,0.283,2.5,519,5.2,3.7,1.2,2.6,5.7
Omer Asik,0.8,5.2,5.6,0.529,0.6,248,2,0,2.4,0.529,20.2,0,0.529,1.2,1.3,0.553,0.4,0,2.1,430,4,7.5,2.3,2.1,4
Alexis Ajinca,0.6,2.6,5.3,0.509,0.5,61,2.3,0,1.1,0.503,13,0.1,0.508,0.9,0.9,0.805,0.3,0.316,2.1,258,4.2,3.8,1.2,2.2,4.3
Tyreke Evans,0.4,3.9,16.7,0.474,5.3,370,2.4,0.6,4.5,0.446,33.4,2.1,0.468,2.8,3.4,0.757,1.3,0.288,5.7,433,12,4.9,0.9,6.3,14.2
Jrue Holiday,0.4,2.7,14.1,0.46,6.1,370,2.3,1.1,2.3,0.439,32.2,2.9,0.481,2.7,1.9,0.801,1.4,0.368,4.5,437,9.8,3.5,0.8,5.6,12.7
Anthony Davis,2.4,7.2,21.1,0.525,1.7,263,2.5,0.2,6.2,0.516,34,0.6,0.521,1.6,4.8,0.782,1.3,0.272,7.9,268,15,9.7,2.6,8,15.6
Quincy Pondexter,0.2,1.4,5.3,0.472,0.8,47,1.5,0.7,1,0.424,18.1,2,0.506,0.6,0.7,0.732,0.4,0.365,1.2,279,2.5,2,0.7,1.9,4.5
James Jones,0.3,1.5,5.4,0.4,0.5,91,1.3,1.1,0.9,0.399,16.2,2.8,0.527,0.3,0.8,0.847,0.3,0.399,0.6,663,1.6,1.9,0.3,1.8,4.4
DeAndre Liggins,0.1,0.9,1.6,0.547,0.4,1,0.7,0.1,0.6,0.474,6.9,0.4,0.52,0.4,0.3,0.486,0.4,0.304,0.5,61,0.9,1.2,0.3,0.6,1.2
Richard Jefferson,0.3,3.3,13.3,0.492,2.1,796,2.3,0.9,4.2,0.465,30,2.4,0.51,1.6,3.2,0.769,0.7,0.379,3.7,1089,7.5,4.1,0.8,4.6,9.9
Chris Andersen,1.4,3.4,5.5,0.542,0.5,45,1.9,0,2.4,0.533,17.8,0.1,0.537,0.7,1.5,0.654,0.4,0.231,1.9,685,3.5,5.1,1.7,1.9,3.6
Jordan McRae,0,0.7,4.2,0.417,1,1,0.8,0.4,1.2,0.427,8.4,0.9,0.488,0.6,0.9,0.75,0.1,0.455,1,24,2.5,0.8,0.2,1.5,3.4
Tristan Thompson,0.7,5.2,9.6,0.505,0.8,245,2.4,0,3.4,0.504,28.5,0,0.504,1.2,2.1,0.628,0.5,0,3.7,395,7.4,8.6,3.4,3.7,7.4
Mo Williams,0.1,2.3,13.2,0.46,4.9,525,2.5,1.3,2.2,0.434,29.2,3.5,0.493,2.3,1.9,0.871,0.9,0.378,3.6,818,7.9,2.8,0.5,5,11.4
Iman Shumpert,0.2,2.8,7.4,0.435,2,168,2.5,1,1.2,0.395,25.5,2.9,0.464,1.3,0.9,0.76,1.3,0.337,1.8,301,4.1,3.6,0.8,2.8,7
Kevin Love,0.5,8.3,18.4,0.478,2.4,441,2.2,1.4,5.8,0.444,32.7,4,0.496,2,4.7,0.816,0.7,0.362,4.7,523,9.7,11.5,3.2,6.1,13.7
Mike Dunleavy,0.3,3.6,11.5,0.482,2.3,583,2.1,1.3,2.4,0.441,28.3,3.6,0.513,1.4,2,0.803,0.8,0.376,2.8,940,5.7,4.4,0.7,4.1,9.3
Channing Frye,0.7,3.9,9.2,0.469,1,423,2.8,1.2,1.3,0.438,23.8,3,0.511,1,1.1,0.82,0.6,0.387,2.3,732,5,4.8,1,3.5,8
